ItemName	Descript
Item_Dan_ZhuLongDan1	分神,彩色,球型
Item_ThunderAir	球型,无法食用,天劫
Item_XianBone	骨头,道行,无五维
Item_ZaoHuaYuZi	青色,无五维,精华
Item_Dan_LingYuanZhong	青色,灵物,无五维
Item_Dan_ReBorn_4	球型,红色,延寿
Item_BenYuan_None	无五维,道行,精华
Item_BenYuan_Jin	金色,道行,精华
Item_BenYuan_Mu	绿色,道行,精华
Item_BenYuan_Shui	蓝色,道行,精华
Item_BenYuan_Huo	红色,道行,精华
Item_BenYuan_Tu	褐色,道行,精华
Item_Yao_RabbitLuck	水,毛茸茸
Item_Yao_WolfAtk	金,坚硬
Item_Yao_SnakeHanLin	水,坚硬
Item_Yao_BearPiMao	火,毛茸茸
Item_Yao_TurtleKe	坚硬,土
Item_BoarMeat	土,棕色,食物
Item_StrangeMush	木,棕色,食物
Item_MillVell	木,毛茸茸
Item_SewingDefender	木,坚硬
Item_PerfumeBag	木,心境
Item_StoneCutter	金,速度
Item_Handkerchief	毛茸茸,无五维
Item_Bracelet	坚硬,无五维
Item_SmallBell	坚硬,无五维
Item_SysAxe	坚硬,无五维
Item_SysPickaxe	坚硬,无五维
Item_SysSickle	坚硬,无五维
[ANIMAL]	盒子,方型
Item_BossFeng_TouYu	火,毛茸茸,凶兽
Item_BossFeng_WeiYu	毛茸茸,凶兽,灵物
Item_BossFeng_HongYu	参悟,凶兽,红色
Item_BossLong_Jiao	凶兽,坚硬,御剑
Item_BossLong_NiLin	参悟,水,凶兽
Item_BossLong_Jing	坚硬,灵物,凶兽
Item_BossZhuLong_Eye	凶兽,球形
Item_BossZhuLong_LongYu	混沌,抗性,凶兽
Item_BossZhuLong_TianLin	护体,凶兽
Item_Dan_FenShen1	盘古,红色,分神
Item_Dan_FenShen2	造化,红色,分神
Item_Dan_FenShen3	心境,红色,分神
Item_Yao_CatSoul	球形,蓝色,分神
Item_WhiteHair	书,蓝色,白色
Item_BossFeng_HuoYu	灵物,红色,凶兽
Item_BossFeng_GangYu	火,凶兽
Item_BossFeng_Gu	骨头,坚硬,凶兽
Item_DragonScale	蓝色,灵物,凶兽
Item_BossLong_Zhua	尖锐物,凶兽
Item_BossLong_Lin	蓝色,防御,凶兽
Item_BossZhuLong_BaiLin	白色,凶兽
Item_BossZhuLong_HeiLin	黑色,凶兽
Item_BossFeng_Meat	食物,凶兽,红色
Item_BossLong_Meat	食物,杂色,凶兽
Item_BossZhuLong_Meat	道行,食物,凶兽
Item_Dan_Restore	疗伤,黄色,粉末
Item_Dan_SwordBall	球形,蓝色
Item_Dan_Ling3	粉末,黄色
Item_Dan_Thin	颗粒,蓝色,容貌
Item_Dan_FaceLock	颗粒,红色,容貌
Item_Dan_FaceUnLock	颗粒,土,容貌
Item_Dan_Soul1	颗粒,参悟,寿元
Item_Dan_Soul2	颗粒,火,参悟
Item_Dan_Soul3	颗粒,土,参悟
Item_Dan_Soul4	颗粒,悟性,参悟
Item_QiZhi	开智,瓶装,水
Item_Fall_LingZhi	开智,瓶装,金
Item_Winter_LingZhi	开智,瓶装,冬
Item_Spring_LingZhi	开智,瓶装,木
Item_Summer_LingZhi	开智,瓶装,火
Item_Earth_LingZhi	开智,瓶装,土
Item_SoulCrystalYou	珀,无五维,痛苦
Item_SoulCrystalNing	珀,无五维,宁静
Item_SoulCrystalLing	珀,无五维,幸福
Item_GodPractice_MiJuan	书,无五维
Item_PurpleGanodermaLucidum	紫色,灵物,食物
Item_HorseFromFei	毛茸茸,无五维,水
Item_HorseFromLuShu	毛茸茸,无五维,火
Item_WuDang_HuangJingFen	粉末,白色,木
Item_Dan_WuQiNoHunger2	球型,食物,木
Item_Dan_SanHuaHuangJing	木,灵气,黄色
Mod_trib_item_fiveColorspill	In bottle, White, No Elements
Mod_trib_item_waterrestrainingpill	In bottle, Blue, Earth
Mod_trib_item_firerestrainingpill	In bottle, Red, Water
Mod_trib_item_metalrestrainingpill	In bottle, Yellow, Fire
Mod_trib_item_woodrestrainingpill	In bottle, Green, Metal
Mod_trib_item_earthrestrainingpill	In bottle, Brown, Wood
Mod_trib_item_qicompressionpill	Small Pellets, Black, Foundation
Mod_trib_item_bedevilmentpill	Sword Mastery, In bottle, Purple
Mod_trib_item_malignancypill	Spell Power, In bottle, Black
Mod_trib_item_innercauldronpill	Black, Spherical, Foundation
Mod_trib_item_condensedtribulationpill	Spherical, No Elements, Heavenly Tribulation
lation
